"","X","title","company","location","summary","link","uniqueid","description"
"104",104,"Data Scientist – Financial Research","CRISIL LIMITED","New York, NY","N Undertake bespoke requests for data analysis;","https://www.indeed.com/company/CRISIL-LIMITED/jobs/Data-Scientist-Financial-Research-c13f93e1cd410da6?fccid=07960deccb500f33&vjs=3","2ca692940baf77691c755e0e710f9f9d","Role  Data Scientist  Financial ResearchJob Location NEW YORKAs a Data Scientist in CRISILs Risk Analytics practice you will consult for Investment banks and work on a wide range of projects in the areas of data collection analytics business intelligence and modelling projects predictive analysis intelligent alerting facilitating increased adoption of solutions as measured through specific and quantitative indicators In addition to data analytics expertise you will have a broad understanding and interest in financial instruments and capital marketsOn the role your day to day responsibilities will includen Create new databases using data from different sources and set up infrastructure for their maintenancen Clean and manipulate data build models and produce automated reports using any of Python Rn Keep an eye on maintaining maximum efficiency in database maintenancen Undertake bespoke requests for data analysisn Conduct and deliver top notch research projects with quantitative applications to fundamental strategiesPreferred Skill sets n Experience of RDBMS database design preferably on MS SQL servern Comfort with programming using any of Python pandas numpy stats models Rn Candidate should be capable of manipulating large quantities of datan High level of attention to detail and accuracyn Working experience on building quantitative models experience with factor research portfolio construction systematic modelsn Academic qualification in MathematicsStatisticsEconometrics or related fieldn Understanding of company financial statements accounting and risk analysis would be an added advantageStrong English communication skills with proven ability to interact with global clientsCRISIL Global Research  Analytics is one of the worlds leading analytics providers focused on highend research and analytics services to the worlds top financial institutions including leading investment banks and asset management firms Apart from Poland we have research centers in India China and Argentina providing regional and global research support to our clients across the globeJob Type FulltimeScheduleMonday to FridayExperienceFinancial Research OR quantitative models 1 year PreferredPython OR R 2 years Preferred"
"105",105,"Tech Intern: Data Science","Comcast","New York, NY","Experience with data visualization tools such as Tableau or Looker and programming packages; experience with Word/Excel/PowerPoint.","https://www.indeed.com/rc/clk?jk=bf924be786e01312&fccid=ea25315ee9da22e5&vjs=3","5ea314cdd50eb4773d312ebb4b5bd07f","Business UnitJob DescriptionFreewheel is looking for a Data Science Intern to join our Data Science Team for the internship period This role will be responsible for supporting product development efforts related to data exploration machine learning optimization methods and statistical model building This role will work closely with the data science engineering and product management staff to support the development of innovative approaches to the next generation of ad tech productsIntern Roles  ResponsibilitiesIdentify key data questions and conducting exploratory analysesBuilding forecasting methods for advertising use casesApplying optimization methods for ad scheduling applicationsEffectively leveraging key functionality in AWS and Sparkbased technologiesResearching and applying new technologies and analytical methodsApplying data visualization to provide key insightsWorking independently and as part of a broader team across multiple projectsRegular consistent and punctual attendance Must be able to work nights and weekends variable schedules and overtime as necessaryOther duties and responsibilities as assignedPreferred Skills and QualificationsStudies in a technical or business field such as Data Science Computer Science Engineering Mathematics Business Analytics Statistics or Operations Research Masters or PhD work a plusExperience using Python PySpark SQL and DatabricksExperience with data visualization tools such as Tableau or Looker and programming packages experience with WordExcelPowerPointStrong analytical and problemsolving skills ability to work creatively in problem solving environmentExperience using AWS or other cloudbased platformsAbility to communicate technical concepts to a nontechnical audienceStrong interest in advertising technology and mediaWillingness to learn and work in a fastpaced environmentStrong interest in the telecommunications cable and media industriesAbility to work on a teamAuthorized to work in the United States of AmericaJob SpecificationEducation Level  University Bachelors Degree Masters DegreeYears of Experience  ClassroomEmployees at all levels are expected toUnderstand our Operating Principles make them the guidelines for how you do your job Own the customer experience  think and act in ways that put our customers first give them seamless digital options at every touchpoint and make them promoters of our products and services Know your stuff  be enthusiastic learners users and advocates of our gamechanging technology products and services especially our digital tools and experiences Win as a team  make big things happen by working together and being open to new ideas Be an active part of the Net Promoter System  a way of working that brings more employee and customer feedback into the company  by joining huddles making call backs and helping us elevate opportunities to do better for our customersDrive results and growthRespect and promote inclusion and diversityDo whats right for each other our customers investors and our communitiesComcast is an EOEVeteransDisabledLGBT employer"
"106",106,"Data Analyst","Discovery","New York, NY","Work closely with data science team to support data and statistical models.","https://www.indeed.com/rc/clk?jk=547473725df7a4bb&fccid=7c83e5868cc9f23e&vjs=3","12ca7ff7129c9ae420a448704574d90c","Discovery hires the very best and brightest talent who are enthusiastic and passionate to fulfill the companys mission of empowering people to explore their world and satisfy their curiosityIn exchange for their talent and drive employees are provided with an engaging diverse workplace and the resources they need to learn thrive and grow in their careersOverviewOur TeamThe Data Analyst will be part of our growing Data strategy  Analytics team The person will work as both a technical business resource and data analyst to help prioritise requirements based on value and effort perform data analysis and drive actionable insightsThe RoleThis person will be a key technical member of analytical projects from the beginning stages of requirements gathering all the way through final product delivery Thus this role will require a person with strong analytics experience who is comfortable working with various tools and methodologiesThis will be a handson technical role which will require the ability to assess gaps in functionality and ensure they are corrected to suit the business needsThe Analyst will be comfortable with the connection and analysis of large disparate data sets from a variety of sources in order to better understand viewers increase consumer engagement optimise ad placement and improve marketing This person will need both creativity and attention to detail as they envision and build data solutions that change the face of the TV industryResponsibilities1 Data EngineeringWork closely with the Data Technology team to scope document extract transform and load new data sources into Discoverys central data repository for analyticsMeasure  analyse data quality and performance within Discoverys central data repository for analyticsTest  QA data coming from various sources to make sure it is legible clean and transformed before reporting is performed2 Data AnalyticsWork with managers and stakeholders to fully understand business requirements and desired outcomesDocument  record data definitions and structure as well as specifications for Business Intelligence reports  dashboardsQA and test various calculations of dashboards based on business requirementsDevelop  deploy various analytics dashboardsAssist in scoping  designing analytical projects and solutionsExecute analytics projects ranging from small to large either individually or as part of a project teamEnsure project delivery within the allocated timelines and prioritiesGenerate queries  data dictionaries analyse data and create visualisationdashboards related to audience and directtoconsumer insightsExtract understand format and map data from multiple sources into cohesive reportsUtilise Business Intelligence tools to build reports and dashboards that will allow departments to visualise and interact with dataIdentify gaps and areas of improvement related to data analyticsSupport rollout of multiple sprints as a key technical resource3 Advanced AnalyticsData cleansing  preparation for analysisWork closely with data science team to support data and statistical modelsIdentify opportunities to create and automate repeatable analysis or build selfservice tools for business usersCreate repeatable processes to support similar business problems in the futureStay current with new analytical tools and industry trendsRequirementsBachelors degree in Business Engineering Computer Science Statistics Mathematics or Data ScienceAbility to work in a fastpaced environment with at least 23 years of work experienceProficiency  advanced level understanding of MS Excel is a mustDeep experience in developing queries and reporting based upon user requirementsThorough understanding of data modelling and relationalnonrelational databasesHandson extensive  proven experience with data visualisation tools such as Tableau and Power BIA sound grasp of Adobe Analytics and other reporting toolsKnowledge of CRM toolsExperience with modern statistical learning methods regression techniques classification models supervised and unsupervised learning etcFamiliar with statistical packages such as R or the Python scientific stack NumPy SciPy scikitlearn etcExperience with Amazon Web Services RedShift S3 EC2 EMR etcGenuine interest in the rapidly changing video industry with understanding of OTT video services and direct to consumer technologiesWorking experiencecertifications in Agile Scrum andor Lean Kanban delivery frameworks preferredStrong analytical critical thinking and problemsolving skillsAbility and eagerness to constantly learn and teach otherMust have the legal right to work in the United StatesDiscovery Communications Inc is an equal opportunity employer Discovery is committed to being an employer of choice not just a good place to work but a great and inclusive place to work To that end we strive to recruit and maintain a workforce that meaningfully represents the diverse and culturally rich communities that we serve Qualified applicants will receive consideration for employment without regard to their race color religion national origin sex sexual orientation gender identity protected veteran status or disabled status or genetic informationWe will consider for employment all qualified applicants including those with criminal histories in a manner consistent with the requirements of applicable state and local laws including but not limited to all local Fair Chance OrdinancesEEO is the LawPay Transparency Policy StatementCalifornia Job Applicant Privacy PolicyIf you are an individual with a disability and need an accommodation during the application process please send an email request to HRdiscoverycom"
"107",107,"Data Analyst","Columbia University","New York, NY","Master's degree in statistics or biostatistics.","https://www.indeed.com/rc/clk?jk=bc66e606277aae74&fccid=bd976cc171c690e0&vjs=3","644c0163e8068aedb7a84401e0524745","Requisition no 510823Work type Full TimeLocation Medical CenterSchoolDepartment BiostatisticsGrade Grade 104Categories Research Lab and NonLabJob Type Officer of AdministrationRegularTemporary RegularHours Per Week 35Salary Range commensurate with experiencePosition SummaryThe Department of Biostatistics seeks a Data Analyst who will develop and implement statistical methods conduct statistical consultation with clinicians and researchers at Columbia University regarding study design data analysis and power analysis Perform statistical programming and assist in the preparation of manuscripts for publication purposesResponsibilitiesDevelop and implement statistical methods conduct statistical consultation with clinicians and researchers at Columbia University regarding study design data analysis and power analysis Perform statistical programming assist in the preparation of manuscripts for publication purposes 90Other duties as assigned 10Minimum QualificationsBachelors degree or equivalent in education and experience and at least three 3 years of data analytic and statistical analysis experience Advanced educationdegree may substitute for experience Proven ability in SAS R or STATA CRCC Python Data visualization skills with Rshiny Critical thinking  problem solving Written and oral communication Experiences with complex data sets Strong statistical modeling experiences with Longitudinal dataPreferred QualificationsMasters degree in statistics or biostatisticsEqual Opportunity Employer  Disability  VeteranColumbia University is committed to the hiring of qualified local residentsApplications open Dec 03 2020 Eastern Standard TimeApplications close"
"109",109,"Data Scientist","HarperCollins Publishers","New York, NY","Bachelor’s or advanced degree in quantitative field, like statistics, applied mathematics, computer science, or equivalent experience.","https://www.indeed.com/rc/clk?jk=44129c627a673002&fccid=6b444107c149db6d&vjs=3","90db7403616ededef4aa24940eda8348","Full Job DescriptionOverviewHarperCollins is looking for a Data Scientist to join the Data Science team and support the new DirecttoConsumer DTC business unit The Data Scientist will play a key role in monitoring and driving business growth by contributing to tests providing analytical insights and building machine learning models and other data tools to develop an understanding of our customerThe Data Science team works with sales inventory management editorial and other teams to solve complex challenges and drive business growth by developing algorithms building automated data tools and providing datadriven recommendations While being focused on DTC the new Data Scientist will contribute to multiple business areasResponsibilitiesTranslates business challenges into data science problems and applicationsUses machine learning data mining and statistical techniques to identify top business performance drivers solve business problems and develop a deep understanding of the customerCommunicates actionable recommendations based on data analysis to nontechnical business stakeholders in a clear and meaningful wayContributes to the design and development of automated data products and toolsHelps set up experiments and analyze and interpret resultsCollaborates with the business team to define key performance indicators and interpret trendsWorks with the Data Engineering team on data architecture and building dashboard reportsQualificationsBachelors or advanced degree in quantitative field like statistics applied mathematics computer science or equivalent experience2 years of relevant working experience in an analytical role involving data cleaning analysis modeling and communicationProficiency in Python SQL and common data science and machine learning librariesDemonstrated ability in delivering value within a business context via application of analytics and advanced datadriven methodsStrong communication skills with proven ability to effectively communicate technical concepts and complex ideas to nonexpertsAbility to collaborate with multiple stakeholders of varying technical experiences across the organizationMotivated resourceful selfstarterCuriosity and a desire to learnHarperCollins Publishers is a company full of people who are passionate about books When you apply for a position we want to know why you want to work here and why you are interested in the job Thats why cover letters are strongly preferredPlease note that HarperCollins Publishers does not accept resumes from agencies unless our Human Resources department has authorized in writing a specific agency to submit resumes for a specific position Therefore if an agency submits a resume without Human Resources prior written approval to do so the individual identified on that resume will not be considered a candidate presented by your companyHarperCollins Publishers is an equal opportunity employer"
"110",110,"Customer Success Account Manager","Microsoft","New York, NY","Education - Bachelor’s degree or equivalent work experience.","https://www.indeed.com/rc/clk?jk=61280bd70a8de0a6&fccid=734cb5a01ee60f80&vjs=3","7676295e9b543128777b799b95010647","Microsoft is on a mission to empower every person and every organization on the planet to achieve more Our culture is centered on embracing a growth mindset a theme of inspiring excellence and encouraging teams and leaders to bring their best each day In doing so we create lifechanging innovations that impact billions of lives around the world You can help us to achieve our missionCustomer Success Microsoft aspires to help our customers achieve their own digital transformation leveraging the power of Microsoft Cloud solutions and support offerings To this end Microsoft invests in a dedicated Customer Success team that will help Microsoft customers successfully realize their business outcomesAs a Customer Success Account Manager you are the primary customer facing role responsible for customer success through the management of program deliveries and strong customer relationships The prevailing business priority is the customers successful adoption and productive use of Microsoft cloud technologies You are front and center with our customers supporting their digital journey and empowering them to achieve moreKey Accountabilities includeFulfill Support contract obligations by driving quality planning and delivery of Support services to realize customer business outcomes and overall experience with Microsoft solutionsPartner with your customer and Account Team to prioritize and plan customer engagements and programs across cloud and onpremise workloadsDefine outcomes to improve the health performance and business capabilities of the prioritized workloads to drive customer value realizationOrchestration customer sponsor management and stakeholder communication of prioritized engagements and programsTrack escalate and plan for the remediation of technical blockers and provide engineering feedback to further our product and solutions as appropriateWe are always learning Insatiably curious We lean into uncertainty take risks and learn quickly from our mistakes We build on each others ideas because we are better together We stand in awe of what humans dare to achieve and are motivated every day to empower others to do more and achieve more through our technology and innovation Together we make a differenceTo learn more about Microsofts mission please visit httpswwwmicrosoftcomenusaboutCheck out all of our products at httpwwwmicrosoftcomenusResponsibilitiesWe are looking for a highly motivated and passionate Customer Success Account Manager CSAM to drive program management for Strategic accounts that have a significant number of key cross cloud workload engagements running concurrently As the CSAM you will drive acceleration of cloud adoption from PilotMVP to production for customers cloud engagements by providing crossengagement oversight resource orchestration and blocker escalation in close collaboration with key account team unit members and business partners supporting customer successExperience  5 years of success in complex technical engagement management andor program management required Prior work experience in a Program Manager or Engagement Manager position focused on Cloud and softwareservices solution preferredLeadership  This role requires strong communication skills as well as displaying executive presence and confidence in varying levels of customer situations The CSAM must show leadership in teams comprised of Microsoft Partner and customer resources who may be engaged in the delivery of complex solutions for overall customer successRelationship Building  Proven track record of building relationships with senior customer executives in large or highly strategic accounts Experience in managing various stakeholder relationships to get consensus on solutionsengagements requiredProgram Management  Excellent skills in planning for a portfolio of engagements crossgroup collaboration resource orchestration communications analytical capabilities and attention to detail requiredCollaboration and Communication  Proven track record of driving decisions collaboratively resolving conflicts and ensuring followthrough with verbal and written communication Strong presentation skills with a high degree of comfort with both large and small audiences and various levels of management Senior Executives IT management Database administrators and Data ScientistTechnical  Experience with cloud and hybrid infrastructures architecture designs and migrations preferred Knowledge of market trends and competitive insights preferred Understanding of partner ecosystems and the ability to leverage partner solutions to solve customer needs preferredEducation  Bachelors degree or equivalent work experience Bachelors degree in Computer Science Information Technology Engineering or related field preferred Certifications in the following preferredProject Management PMPTechnologies Cloud mobile web application development cloudnative application architectureTravel required 030Relocation will be considered for qualified candidatesQualificationsMicrosoft is an equal opportunity employer All qualified applicants will receive consideration for employment without regard to age ancestry color family or medical care leave gender identity or expression genetic information marital status medical condition national origin physical or mental disability political affiliation protected veteran status race religion sex including pregnancy sexual orientation or any other characteristic protected by applicable laws regulations and ordinances We also consider qualified applicants regardless of criminal histories consistent with legal requirements If you need assistance andor a reasonable accommodation due to a disability during the application or the recruiting process please send a request via the Accommodation request formBenefitsperks listed below may vary depending on the nature of your employment with Microsoft and the country where you work"
"111",111,"Healthcare Analytics - Senior Data Scientist","CVS Health","New York, NY","Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.","https://www.indeed.com/rc/clk?jk=63f0e84c29644491&fccid=be3b11aa573faee7&vjs=3","65d2427158e78f50bb5f25f2e2885637","Demonstrates strong ability to communicate technical concepts and implications to business partnersAnticipates and prevents problems and roadblocks before they occurStrong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sourcesDemonstrates proficiency in most areas of mathematical analysis methods machine learning statistical analyses and predictive modeling and indepth specialization in some areas5 or more years of progressively complex related experience Bachelors degree or equivalent work experience in Mathematics Statistics Computer Science Business Analytics Economics Physics Engineering or related disciplineMasters degree or PhD preferredDemonstrates strong ability to communicate technical concepts and implications to business partnersAnticipates and prevents problems and roadblocks before they occurStrong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sourcesDemonstrates proficiency in most areas of mathematical analysis methods machine learning statistical analyses and predictive modeling and indepth specialization in some areas5 or more years of progressively complex related experience Bachelors degree or equivalent work experience in Mathematics Statistics Computer Science Business Analytics Economics Physics Engineering or related disciplineMasters degree or PhD preferredRequired QualificationsDemonstrates strong ability to communicate technical concepts and implications to business partnersAnticipates and prevents problems and roadblocks before they occurStrong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sourcesDemonstrates proficiency in most areas of mathematical analysis methods machine learning statistical analyses and predictive modeling and indepth specialization in some areas5 or more years of progressively complex related experienceBachelors degree or equivalent work experience in Mathematics Statistics Computer Science Business Analytics Economics Physics Engineering or related disciplineMasters degree or PhD preferredPreferred QualificationsPlease review required qualifications aboveEducationMasters degreeBusiness OverviewAt CVS Health we are joined in a common purpose helping people on their path to better health We are working to transform health care through innovations that make quality care more accessible easier to use less expensive and patientfocused Working together and organizing around the individual we are pioneering a new approach to total health that puts people at the heartWe strive to promote and sustain a culture of diversity inclusion and belonging every day CVS Health is an equal opportunity and affirmative action employer We do not discriminate in recruiting hiring or promotion based on race ethnicity sexgender sexual orientation gender identity or expression age disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal state or local law We proudly support and encourage people with military experience active veterans reservists and National Guard as well as military spouses to apply for CVS Health job opportunities"
"112",112,"Data Scientist","Trane Technologies","Galway, NY","Strong experience modelling machine and behavioural data.","https://www.indeed.com/rc/clk?jk=b01ad1a060c8dd0f&fccid=64739a8388b4fcb0&vjs=3","1459038b3a87a8d6d81773468084706d","At Trane Technologies we Challenge Possible Our brands  including Trane and Thermo King  create access to cooling and comfort in buildings and homes transport and protect food and perishables connect customers to elevated performance with less environmental impact dramatically reduce energy demands and carbon emissions and innovate with a better world in mind We boldly challenge whats possible for a sustainable worldJob SummaryResearch and create data driven solutions that enhance our product lines and service offeringsResponsibilitiesResponsible for the creatiom of data driven solutions for our customersQualificationsDegreeMasters in Data Science Mathematics PhysicsStrong analytical skills relating to unstructured data setsStrong experience modelling machine and behavioural dataProficient with machine learning techniquesExperience with a wide avriety of statistical computer languiages and data mining toolsKey CompetenciesBreath ands depth of knowledge in the areas of Statistical computing languages ans tools conventional languages C Java Pythomn SQLHands on experience with cloud based architechtures and software stacksDeep understanding of large always on enterprise system architechtureAlgorithim optimisation proficiencyWe offer competitive compensation and comprehensive benefits and programs that help our employees thrive in both their professional and personal lives We are proud of our winning culture which is inclusive and respectful at its core We share passion for serving customers caring for others and boldly challenging whats possible for a sustainable worldWe are committed to achieving workforce diversity reflective of our communities We are an equal opportunity employer All qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identify national origin pregnancy age marital status disability status as a protected veteran or any legally protected status"
"113",113,"Data Science Intern","HOF Capital","New York, NY","Majoring in data science, statistics, or a related field of study.","https://www.indeed.com/rc/clk?jk=94dbffa5fa99eb2b&fccid=e4327556abe7af6f&vjs=3","e4cdd0ddd6d30b91497c5b774a3f7ebb","We are looking for passionate technology and data science enthusiasts to join our team Interns will interact directly with senior team members and will develop strong analytical skills that will serve them well for the rest of their careers Previous interns have gone on to work for the worlds leading technology companies and investment firms including Google X Facebook Jane Street BlackRock and Goldman SachsWe welcome applications throughout the year and our internships typically range from 3 to 12 monthsResponsibilitiesResponsibilities will include some or all of the followingResearch and evaluate important questions that require data to accurately answerDetermine what data points are needed to accurately answer these questionsGather normalize and run statistical analyses on these data pointsPresent the results and provide possible explanations for themHelp convert these results into meaningful business insights and improvementsAssist with other firmrelated activities as neededRequirementsCurrently enrolled at a toptier universityMajoring in data science statistics or a related field of studyExcellent academic performance eg GPA of 35 or higherOutstanding intellectual aptitudeDisciplined responsible and selfmotivatedDiligent thorough and attentive to detailsGenuine passion for technology and investingWe do not sponsor visas for international studentsHOF Capital  New York  San Francisco  RemoteNew York NY 10013"
"114",114,"Data Scientist","Abnormal Security","New York, NY","Experience in cyber security or fraud detection.","https://www.indeed.com/rc/clk?jk=f4ffce39ccf7c6e1&fccid=46ac46bf70f0297a&vjs=3","6c89c2023e1d3b5a074cc53514cf1599","ABNORMAL SECURITYAbnormal Security is defining the next generation of email security defense Our platform uses machine learning and artificial intelligence to baseline communication content user identity and behavioral signals in realtime and atscale in order to detect the abnormalities of email attacksCustomers love us because we consistently detect and stop what everyone else in the market cant  advanced attacks that have never been seen before  and we do so with beautiful user interfaces and bestinindustry customer supportOur veteran team has built some of the most enduring machine learning platforms at leading companies including Google Twitter Pinterest Amazon Microsoft and Expanse We are located in San Francisco and New York CityOur company is growing  were on the Forbes AI 50 and a Gartner 2020 Cool Vendor and our customer base includes multiple Fortune 500 companiesWe are tackling complex and unsolved problems In order to build the best in class detection of cyber attacks we need to constantly push the boundaries of our detection system and answer questions such asWhat classes of FN and FPs are we missingWhat additional signals do we need in order to capture these FNs and FPsHow can we best capture and iterate on a neverbeforeseen attackHow do we know a model  feature is working as expectedWhat dimensions do we need to evaluate in order to tackle a problem like this at scale with an extremely low False Positive RateYOUYou want to dig into massive amounts of data to understand what kind of attacks are being delivered As a Data Scientist you will drive generating a deep organizational understanding of the attack landscape and work across productengineering to make sure we are building the best cyber security product in the market You will spend your timeThink about how to quantify the world that email security operates in including attack patterns model behavior human behavior impact etcEvaluate quality of the detection product and identify areas of improvementsExperiment with ways to identify product gaps and assess potential solutionsCome up with new methods to capture unremediated risk in the email environmentGenerate insights to share with internal team and industry partnersQualification2 years of experience in a Data Science function working with big dataAbility to work in a highly autonomous mannerComfortable solving undefined problemsMS  PhD in an analytical field such as Math Physics Computer Science or EconomicsFluent in Python and SQLGood understanding of statistical methods and ML conceptsNice to haveExperience in cyber security or fraud detectionExperience working with a MLbased productWHY ABNORMAL SECURITYBe a small fish in a big pond work with people who value and enjoy learning from each otherYour work actually makes the world a better placeSolve interesting problemsInnovative culture and team  huge opportunities for personal growthOne of the fastestgrowing startups in technologyCompetitive pay and equityGenerous PTO and benefitsFamily friendly environment"
"115",115,"Credit Quantitative Analyst/Data Scientist","Citi","New York, NY","Demonstrated experience applying statistical and/or machine learning techniques in the financial industry.","https://www.indeed.com/rc/clk?jk=cf7a052ca0046562&fccid=5bcd1ef0a7f4fb99&vjs=3","85b7a7aaf9b770711cb27ebbeb70ad91","ResponsibilitiesWork closely with Traders Sales and Technology professionals in Global Spread Products with a primary focus in the credit space to build analytics and processes that enhance the way we service clientsCreate implement and support quantitative models for the credit trading business leveraging a combination of meticulous data analysis traditional statistical reasoning and advanced machine learning techniquesDiligently architect and manage the evolution of the code base including collaborating with other teams to maximize scale and leverage across the organizationQualifications35 years of experience in a comparable quantitative modeling or analytics role ideally in the financial sectorDemonstrated experience applying statistical andor machine learning techniques in the financial industryStrong technicalprogramming skills Python SQL kdbq desired C and JavaScript are nice to haveExtreme attention to details and genuine interest in gaining intimacy with the different trading datasets Ability to manipulate and analyze complex large scale high dimensional data from varying sourcesClear and concise written and verbal communication skills Ability to communicate complex problems to the relevant stakeholdersEducationMastersPhD degreeJob Family GroupInstitutional TradingJob FamilyQuantitative AnalysisTime TypeFull timeCiti is an equal opportunity and affirmative action employerQualified applicants will receive consideration without regard to their race color religion sex sexual orientation gender identity national origin disability or status as a protected veteranCitigroup Inc and its subsidiaries Citi invite all qualified interested applicants to apply for career opportunities If you are a person with a disability and need a reasonable accommodation to use our search tools andor apply for a career opportunity review Accessibility at CitiView the EEO is the Law poster View the EEO is the Law SupplementView the EEO Policy StatementView the Pay Transparency Posting"
"116",116,"Data Coordinator","FirstService Residential","New York, NY","Generate and present reports and/or findings based upon data analysis and tracking outcomes.","https://www.indeed.com/rc/clk?jk=414784e28bbd64f4&fccid=22ae51bfcaa8bb97&vjs=3","ef1c3f13eb649f513c6e4dc3ef401abf","FirstService Residential New York is looking for someone to join their team as a Data Coordinator The ideal candidate is someone who is eager to learn about the energy industry and able to think outside the box to solve problemsThe job duties include but are not limited toResponsible for collecting utility  ESCO bill data through utilityESCOs online portal AvidXchangeAvidUtility and other resourcesEnter or upload utility bills using EnergyCap Energy Management Database on daily basisResponsible for filing Benchmarking compliance report on annual basis for all FirstService Residential Managed propertiesResponsible for creating and delivering annual Energy Report Card to all FirstService Residential managed propertiesReview audit and reconcile utility data to ensure consistency and accuracy through daily operations reportIdentify and fix missing overlapping andor other billing anomaliesRespond to energy data requestsReview utility dataGenerate reports using excel charts graph  other presentable formatsGenerate and present reports andor findings based upon data analysis and tracking outcomesRetain knowledge of energy market regulations energy rates and tariffsComplete research on energy compliance lawsResponsible for written and verbal communications with property managers accounts managers utility companies suppliers associates and other internalexternal clientsAssist MISC projects tasks andor other related duties to meet deadlinesEnsure all safety precautions are followed while performing the workKnolwedge Skills and ProficienciesBachelors Degree required preferably in Math Computer Science Physics Information Systems Engineering Statistics Data Analysis Data Science or other Energy related fieldHighly analytical and detailorientedExcellent interpersonal and communication skillsAble to work independently and in collaboration with othersConduct business at all times with the highest standards of personal professional and ethical conductMust have strong proficiency in Windows and Microsoft Office especially Excel Must be able to generate reports pivot tables keyboard shortcuts advanced formulas lookups and indexingGeneral understanding of energy markets and utility tariffs is a plusKnowledge of EnergyCap AvidXchange and Portfolio Manager is a plusAbout FirstService EnergyFirstService Energy is the energy management and advisory subsidiary of FirstService Residential the largest manager of residential communities in North America Our energy experts help our clients significantly enhance their buildings energy efficiency by developing strategies to reduce energy costs consumption and emissions"
"117",117,"Data Scientist","Amazon Dev Center U.S., Inc.","Boston, MA","Or statistical/mathematical software (e.g. R, SAS, or Matlab).","https://www.indeed.com/rc/clk?jk=64c5659c8e9c82ab&fccid=fe2d21eef233e94a&vjs=3","06df8ff5e470df2050c048253e16cac2","Bachelors Degree3 years of experience with data scripting languages eg SQL Python R etc or statisticalmathematical software eg R SAS or Matlab2 years working as a Data ScientistAmazon Elastic File System EFS httpsawsamazoncomefs is looking for a Data Scientist to dive deep into the vast data generated by a rapidly growing AWS storage service and applying current data analysis methods to produce insights that will improve customer experience operational effectiveness and business value As a member of the Amazon EFS team youll work closely with outstanding engineers and product managers to work hard have fun and create the future of cloud storageBuilding a HighPerforming  Inclusive Team CultureYou should be passionate about working with a worldclass team that welcomes celebrates and leverages a diverse set of backgrounds and skillsets to deliver results Driving results is your primary responsibility and doing so in a way that builds on our inclusive culture is key to our long term successWorkLife BalanceEFS values worklife balance On normal days our entire team is colocated in the Boston office but were also flexible when people occasionally need to work from home We generally keep core available hours from 10am to 4pm Some of the team is available earlier and the rest of us work a little laterEnergizing and Interesting Technical ProblemsYou will work in partnership with engineers on the team to build and operate large scale systems that move and transform customer volume data and accelerate access to their data Youll be working to provide solutions to both internal and external customers and engage deeply with other teams within EFS S3 EC2 and many other services Its humbling and energizing to provide data movement solutions to customers at AWS scaleMentorship  Career GrowthWere committed to the growth and development of every member of EFS and that includes our engineers You will have the opportunity to contribute to the culture and direction of the entire EFS org and deliver initiatives that will improve the life of all of our teamsAs a Data Scientist on EFS you will be curious and dive deep into performance business and operational metrics Youre excited about designing solutions that scale while also engaging individual customers in understanding their applications Youre able to think about business opportunities operational issues and architectural diagrams in the course of a single conversation Youre looking for a team of bright capable engineers to work with directly in implementing your vision while also collaborating with other data scientists across AWSUnderstanding of operating system fundamentals Linux or WindowsExperience with AWS servicesAmazon is committed to a diverse and inclusive workplace Amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status For individuals with disabilities who would like to request an accommodation please visit httpswwwamazonjobsendisabilityus"
